id,text,label
5b133284a6da98dccdde5f03," high quality and perfection are the result of more than one hundred steps of craftsmanship, attention to detail and refined style are the components that determine the success of the brand.the history of the barceló family begins with the production of espadrilles in 1960, thanks to the ingenuity and creativity of manolo barceló, master in the elaboration of handmade ropes and braids, tireless pursuer of perfection in his creations and elaborations begins with the production of espadrilles and rope platforms for the main international fashion brands.cosí cosí footwear, sl, became the starting point for manuel barceló martínez, son of the founder manolo, who after years of lending his creative expertise to other designers, decided to go further and create his own line. and so, after more than four decades of experience, paloma barceló was born in 2002.diseno diseño  lujo  moda   lujo  moda  calzado  calzado",0
556d34fd7369641226dab000,"best ham in the world​- iffa international frankfurt trade fair 2016beher  is a spanish ham producer company that has worldwide fame. it is situated in the village of guijuelo (salamanca, spain), in the protected designation of origin (pdo) jamón from guijuelo.this third generation family company was founded in the 1930s and is now one of the 300 biggest companies in castile and león.in 2001 and 2004 it was awarded best international company​ during the international fair in frankfurt, the main international fair of meat products. among the many products of beher bellota oro​ (gold acorn) stands out, in 2007, 2010, 2013 and 2016 it was awarded best ham of the world​ productos ibericos  jamon iberico de bellota   best ham of the world  productos ibéricos  acorn-fed ham acornfed ham  best ham of the world jamón ibérico de bellota",0
5e57ea61d5bd4a000176bd7c,"el mundo necesita gente como la aguacatera, que ame lo que hace​avocados avocados",0
5e581dba9064ba0001ceb925,"el valor del trabajo bien hecho​somos un grupo financiero independiente especializado en la gestión de patrimonios desde 1984. nuestro grupo lo componen dux inversores capital av y dux inversores sgiic.desde nuestros orígenes, hemos tratado de ofrecer un servicio financiero personalizado, con la confianza y profesionalidad como principios fundamentales.nuestro trabajo es vocacional. nos gusta lo que hacemos, y eso se traslada a los resultados de nuestros clientes.gestionamos con autonomía y libertad al no estar subordinados a ningún otro grupo financiero u objetivos comerciales.nuestro equipo cuenta con una alta cualificación, acreditaciones cfa y efpa y experiencia previa en el sector financiero. contamos con una experiencia de más de 30 años, adoptando siempre los más altos estándares éticos.los socios se encuentran involucrados en la actividad diaria, y en la relación directa con los clientes, invertimos en los mismos productos que nuestros clientes. lo mejor para tí es lo mejor para nosotros.contamos con la colaboración de entidades de reconocido prestigio en el sector y nos encontramos permanentemente supervisados por diferentes organismos públicos.adoptamos un modelo fintech, buscando nuevas fórmulas y opciones para gestionar y relacionarnos con nuestros clientes.91 781 32 50 / 94 435 52 97info@duxinversores.com asesoramiento patrimonial  ciclo económico y sectores  analisis fundamental asset management  asesoramiento financiero  asesoramiento financiero  fondos de inversión y fondos de pensiones  finanzas personales asset management  análisis fundamental   finanzas personales  fondos de inversion y fondos de pensiones  gestion del riesgo  gestión del riesgo  ciclo economico y sectores  value investing  value investing  asesoramiento patrimonial",0
5e55a840831f070001de01d2,"fabricación y distribución de complementos alimenticios, cosméticos y suplementos para el bienestar y la salud de todos. especializada en silicio orgánico.  orgono sport recovery  orgono sport  serum  silicium  silicio organico  neuro health  silicium g7 silicium rosa mosqueta  g7 light legs  soriaskin  gel g5  g7 lipo reduct  silica  silicium g7  hemosil  silicium g5  siliplant  g7 defender  silicium organic  living silica  orgono vision",1
5edb71775691580001afce70,"más de 100 años al servicio del agricultor, agricultura y progresocon este lema quiles se consolida hoy en día como un centro de referencia para los agricultores de las provincias de guadalajara, madrid y cuenca.dispone de instalaciones en guadalajara, tarancón y molina de aragón en las que se ofrece un servicio integral a sus clientes con el objetivo de hacer más rentable su explotación. jardinería  john deere  automoción  fertilizantes  john deere  maquinaria agricola  taller agricola  fertilizantes  herbicidas  repuestos agricolas  agricultura de precision  asesoramiento agronómico  semillas   agricultura de precisión  repuestos agricolas jardineria maquinaria agricola  asesoramiento agronomico  taller agricola  herbicidas  semillas  automocion",0
55eb40b9f3e5bb3102001123,"nuestro objetivo es ser para la sociedad, la correduría de seguros de referencia por la contribución a la tranquilidad, seguridad y bienestar de los clientes, lograda a través de una propuesta cercana y de confianza en productos y servicios aseguradores, así como del compromiso de un equipo humano competente y que se siente reconocido​.desde 1970, líder en volumen de primas y número de clientes en el levante español, socio-fundador de mediavanz a.i.e., y asociados de adecose. asesoramiento asegurador seguros  consultoria aseguradora   asesoramiento asegurador",0
54a23f687468693a7e67ad19,"taking your business to the next level​on4u global services es una agencia especializada en ecommerce.diseñamos, desarrollamos y hacemos crecer negocios online. adaptamos y personalizamos nuestros proyectos atendiendo a los objetivos y la visión de cada marca. así es como conseguimos crear experiencias de compra únicas y exclusivas que responden a las necesidades de cada cliente.trabajamos con las últimas tecnologías y estándares internacionales, siempre con licencias libres. somos especialistas en magento. solution silver partner desde 2009.hemos desarrollado una cultura basada en la motivación, la innovación, la calidad y la honestidad, donde las personas son el centro y la clave del éxito. por eso, invertimos en talento como estrategia de crecimiento propio y de desarrollo global.somos un equipo multidisciplinar de diseñadores, estrategas y desarrolladores. permanecemos en continua formación para poder seguir siendo los mejores en lo que hacemos.nos gustan nuestros clientes porque hacen de nosotros lo que somos. algunos proyectos de on4u//www.adolfodominguez.comhttp//www.malababa.comhttp//www.20milproductos.comhttp//www.alkar.eshttp//www.minivap.comhttp//www.independi.comhttp//www.thekingsofthehouse.comhttp//www.octilus.comhttp//www.insertec-store.comhttp//www.gaikar.com ux/ui  agile development   marketplace  audit magento  ecommerce  mobile  cybersecurity  marketplace  hosting  hosting  b2b  mobile  ui  atlassian  atlassian  audit  b2b/b2c magento  cybersecurity  b2c  agile development  ux  ecommerce",0
5da484e77ca76a0001971c91,textile trading company | comercio al mayor de textiles.,0
5c1d946ef651257278b8712a,"todo lo de oriente en occidente”. ésta es la filosofía del grupo oriental market, especialistas en importación de productos orientales food y non food en españa, portugal y andorra. una empresa familiar que desde un inicio destaca por ofrecer a todos sus clientes la oportunidad de disponer de una manera más fácil, rápida y segura de productos premium procedentes de más de 14 países asiáticos, tales como, china, japón, corea, filipinas, vietnam, tailandia o hong kong, entre otros muchos. japona  cosmética coreana  alimentacion asiatica  distribuidor  vajillas  asia alimentacion asiatica cosmetica coreana   china  china",0
